DocScan,,deepin-v23,,
HanGuangScanner,,deepin-v23,,
accerciser,3.38.0-1,deepin-v23,,
alacritty,0.13.2-2,deepin-v23,,
alsa-tools-gui,1.2.11-1.1,deepin-v23,,
ark,21.08.3-1deepin0,deepin-v23,,
artikulate,21.08.0-1,deepin-v23,,
audacious,4.3.1-2.1,deepin-v23,,
audacity,3.4.2+dfsg-1deepin0,deepin-v23,,
aurora-printer-a121,1.0.3,deepin-v23,,
avahi-discover,0.8-5,deepin-v23,,
avahi-ui-utils,0.8-5,deepin-v23,,
baobab,41.0-1,deepin-v23,,
basket,2.49-1,deepin-v23,,
bb,1.3rc1-13,deepin-v23,,
bisheng-engine,2.0.14-1,deepin-v23,,
biz.zcjt.gaopaiyi,1.0.0,deepin-v23,,
biz.zcjt.scanner,1.0.2.0,deepin-v23,,
biz.zcjt.zc-a5930dn,1.0.0-23166,deepin-v23,,
biz.zcjt.zc-a5933dn,1.0.0-23324,deepin-v23,,
biz.zcjt.zhongchu-sane,20240911-6.6.10.030,deepin-v23,,
blinken,21.08.0-1,deepin-v23,,
blueman,2.3.5-3deepin0+rb1,deepin-v23,,
brasero,3.12.3-2,deepin-v23,,
btop,1.3.0-1,deepin-v23,,
butt,0.1.37-2,deepin-v23,,
caja,1.24.0-1-deepin1,deepin-v23,,
cataclysm-dda-sdl,0.G-4deepin1,deepin-v23,,
cc.lotuscard.demo,1.0.0.0,deepin-v23,,
cf900,1.0,deepin-v23,,
cgoban,1.9.14-19,deepin-v23,,
cherrytree,1.0.2+dfsg-1,deepin-v23,,
chromium,128.0.6613.84-1deepin1,deepin-v23,,
cinnamon-screensaver,5.0.7-1,deepin-v23,,
cinnamon-settings-daemon,5.0.4-2,deepin-v23,,
citizen-cx-02-printerdriver,1.0.0-0,deepin-v23,,
citizen-cx-02s-printerdriver,1.0.0-0,deepin-v23,,
citizen-cx-02w-printerdriver,1.0.0-0,deepin-v23,,
citizen-cy-printerdriver,1.0.0-0,deepin-v23,,
citizen-cz-01-printerdriver,1.0.0-0,deepin-v23,,
claws-mail,4.2.0-2,deepin-v23,,
clipit,1.4.4+git20190202-2,deepin-v23,,
cmake-qt-gui,3.30.5-1,deepin-v23,,
cmatrix,2.0-3,deepin-v23,,
cn.com.hisign.hidscanner,1.0.0-1,deepin-v23,,
cn.com.hisign.hsivlive,3.10.8,deepin-v23,,
cn.com.hsic.demo,1.0.0-1,deepin-v23,,
cn.com.secuprint.smlmfp,1.0.3.0,deepin-v23,,
cn.com.signpro.hwtabletserv,2.7+b69,deepin-v23,,
cn.com.signpro.sphttpserv,3.2+b83,deepin-v23,,
cn.com.tongzhi.crypt.http,1.0.3.4406-1,deepin-v23,,
cn.com.ultrasec.uskmanager,,deepin-v23,,
cn.dascom.dc8600-driver,1.0.0,deepin-v23,,
cn.hengbao.hbd7600-driver,1.0.8,deepin-v23,,
cn.huahom.pam.unlock,0.1.0,deepin-v23,,
cn.hzchancel.fifthfootprint,0.0.1,deepin-v23,,
cn.hzchancel.fouthfootprint,0.0.1,deepin-v23,,
cn.microdone.passguardservice,1.0.0.0,deepin-v23,,
cn.microdone.passguardservice.bj,1.0.0.0,deepin-v23,,
cn.microdone.passguardservice.nb,1.0.0.7,deepin-v23,,
cn.microdone.signmessenger.hz,1.0.0.0,deepin-v23,,
cn.microdone.signmessenger.nb,1.0.0.2,deepin-v23,,
cn.naturalcard.eserver,1.0.0.1,deepin-v23,,
cn.net.zonewin.smartscanner,1.0.11,deepin-v23,,
cn.tianyi.eserver,1.0.0.1,deepin-v23,,
cndrvcups-utility,1.10-1deepin0,deepin-v23,,
cnrdrvcups-ufr2-uk,5.10-1+rb1,deepin-v23,,
cnrdrvcups-ufr2lt-uk,5.00-1deepin0,deepin-v23,,
codeblocks-common,20.03+svn13046-0.2,deepin-v23,,
colossal-cave-adventure,1.4-1.1,deepin-v23,,
com-huashuoaf-finger,1.0.0.3,deepin-v23,,
com.aisino.sktool,,deepin-v23,,
com.aisino.tktool,,deepin-v23,,
com.arc-uds.smartscan,3.1.0.1,deepin-v23,,
com.avision.a4pq-series,1.0.0-23293,deepin-v23,,
com.avision.avision-sane,20231120-8.6.10.020,deepin-v23,,
com.bhyf.bhpainter,2020.12.01-1,deepin-v23,,
com.binup.fingerprint,1.0.0.1,deepin-v23,,
com.bjnja.njaep3kgmutil,1.0.2,deepin-v23,,
com.btit.linuxaction,3.1.10.24194-uosv20,deepin-v23,,
com.canon.ufr2,6.00-1.00,deepin-v23,,
com.centerm.gwq,2021.1.29-1,deepin-v23,,
com.centerm.gwq.common,1.0.0.0-1,deepin-v23,,
com.colortrac,1.0.7,deepin-v23,,
com.comet.comet-sane,20240814-11.7.11.063,deepin-v23,,
com.contexscan,1.0.7,deepin-v23,,
com.czur.scanner,,deepin-v23,,
com.deepin.gomoku,1.0.11,deepin-v23,,
com.deepin.lianliankan,1.0.12,deepin-v23,,
com.deepin.microbox-scanner,1.2.1,deepin-v23,,
com.deli.camera,2.1.7.9,deepin-v23,,
com.deli.printer-c111,1.0.038,deepin-v23,,
com.deli.printer-d11,1.10-1,deepin-v23,,
com.deli.printer-d21,1.10-1,deepin-v23,,
com.delichina.deliscan,4.51.24520.23319,deepin-v23,,
com.elineprint.e-gm3001-an-3in1,1.0.0-20206,deepin-v23,,
com.everfine.finger,2021.11.5-1,deepin-v23,,
com.everspry.escaps,24.7.8.8,deepin-v23,,
com.eyecool.facesdk,,deepin-v23,,
com.farshine.ygdevservice,2.5.2,deepin-v23,,
com.fenglinkeji.scanner,0.0.1-1,deepin-v23,,
com.founder.linuxaction,2.1.96.24365-uosv20,deepin-v23,,
com.founderinternational.founder-sane,20240820-1.6.10.015,deepin-v23,,
com.ftsafe.epass3000gm-spabank,1.2.4-1+b1,deepin-v23,,
com.ftsafe.epass3000gmg-hnxa,1.0.1-1+b1,deepin-v23,,
com.ftsafe.interpass3000-cib,1.0.16.d1-1+b1-uos,deepin-v23,,
com.ftsafe.interpass3000-cmbc,1.3.13.d0-1+b1,deepin-v23,,
com.ftsafe.interpass3000-lfbk,1.0.7-1+b1,deepin-v23,,
com.ftsafe.interpass3000-nbbank,1.0.9,deepin-v23,,
com.ftsafe.interpass3000-rzbank,1.0.1-1+b1,deepin-v23,,
com.ftsafe.interpass3000-scb,1.0.5-1+b1,deepin-v23,,
com.ftsafe.interpass3000-wfbank,1.0.0.d1-1+b1,deepin-v23,,
com.ftsafe.interpass3000zjrc,1.2.21-1+b1,deepin-v23,,
com.ftsafe.interpasscitic,1.2.8-1+b1,deepin-v23,,
com.fujitsu.fsane,2.0.1-2,deepin-v23,,
com.fytech.cfs300b,1.0.0,deepin-v23,,
com.fytech.pfs408,2021.5.8,deepin-v23,,
com.fytech.ps1300,1.0.0,deepin-v23,,
com.ggimage.ggimage-printer,1.0.3-1+uos,deepin-v23,,
com.gmrz.fido,1.0.3.2,deepin-v23,,
com.goke.gksecurity,2.0.3,deepin-v23,,
com.greatwalltech.greatwall-sane,20240918-7.6.10.051,deepin-v23,,
com.gwi.dpm760a-tool,1.0.0,deepin-v23,,
com.haitaichina.htukeytool20079,1.0.0.2404081,deepin-v23,,
com.hanguang.hgfchanguangprinter,1-1,deepin-v23,,
com.hanguang.hgfcscanner,1-1,deepin-v23,,
com.hanlongbj.omniscan,1,deepin-v23,,
com.hanwang.linuxaction-sdk,2.1.53.22043-uosv20,deepin-v23,,
com.hsreader.demo,1.1.0,deepin-v23,,
com.huagaochina.huagoscan,2.2.3-1+rc4,deepin-v23,,
com.huawei.cv81-series,2.0-88,deepin-v23,,
com.hw.signdriver,1.0.0,deepin-v23,,
com.hw99.hanvon-sane,20230206-9.6.10.053,deepin-v23,,
com.jetbrains.irisking,2021.01.20-1,deepin-v23,,
com.joyusing.gwq,1.0.0,deepin-v23,,
com.joyusing.visualizer,1.0.0,deepin-v23,,
com.joyusing.w05,1.0.0,deepin-v23,,
com.joyusing.writingpad,1.0.0,deepin-v23,,
com.kinghun.kinghuncamera,1.0.0,deepin-v23,,
com.lanxum-ga-series,1.0.1,deepin-v23,,
com.lanxum.ga2630dn-psm-2in1,1.0.0-20301,deepin-v23,,
com.lanxum.ga30-psm-2in1,1.0.0-21032,deepin-v23,,
com.lanxum.ga7030dn-psm-2in1,1.0.0-21034,deepin-v23,,
com.lanxum.gasd06.printerdriver,1.0.0-5+0,deepin-v23,,
com.lanxum.gd34xxdn,3.3.0,deepin-v23,,
com.lanxum.linuxaction,2.1.91.24084-uosv20,deepin-v23,,
com.lanxum.printdevicemanager,2.0.0-2+0,deepin-v23,,
com.lanxum.rongtuscan,2.0.9,deepin-v23,,
com.lanxum.sp1800-1-driver,1.1.0,deepin-v23,,
com.lanxum.sp1800-1-tool,1.1.0,deepin-v23,,
com.lenovo.lenovo-gpy,2.1.7.3,deepin-v23,,
com.microtek.scaner,1.0.0-9c,deepin-v23,,
com.mindeo.scannertext,1.2.2.4,deepin-v23,,
com.mt.cnlinux,1.0.0.3,deepin-v23,,
com.mt.cnsscard,1.0.0.4,deepin-v23,,
com.nantian.bpport,1.0.0.20210910,deepin-v23,,
com.nantian.clientscreen,1.0.2.02261802,deepin-v23,,
com.nantian.mmjp,1.0.0.20210312,deepin-v23,,
com.nbdeli.camera,,deepin-v23,,
com.nbdeli.deli-sane,20240820-5.7.10.027,deepin-v23,,
com.ncmem.down2,2020.12.3-1,deepin-v23,,
com.ncmem.up6,2020.12.3-1,deepin-v23,,
com.ncmem.wordpaster,2020.12.3-1,deepin-v23,,
com.neutralchina.neuscan,4.52.26520.24289,deepin-v23,,
com.pantum.pantum,7.4.182-1+uos,deepin-v23,,
com.pantum.pantum-235-325-2165,1.0.0ab02-1+uos,deepin-v23,,
com.pantum.pantum-scan-assistant,3.0.1,deepin-v23,,
com.pantum.pantumprint,1.1.24-1+uos,deepin-v23,,
com.plustek.linuxaction,3.0.3.22342-uosv20,deepin-v23,,
com.racertech.usbdisp,1.0.0-1,deepin-v23,,
com.ricoh.pfu.fsane,4.0.1-1,deepin-v23,,
com.ricoh.universalscan,,deepin-v23,,
com.rightcolor,1.0.7,deepin-v23,,
com.scanner.hanguang,1.0-1,deepin-v23,,
com.semxum.aisystem,1.0.0-2+b1,deepin-v23,,
com.shensi.websocket,1.58,deepin-v23,,
com.sogou.ime.ng.fcitx5.deepin,10.0.9.0.8-981,deepin-v23,,
com.sunrise.demo,2.2.2,deepin-v23,,
com.sunrise.device,2020.09.15-1,deepin-v23,,
com.sxylzinfo.sxsscardsv,3.5.15,deepin-v23,,
com.szshenshu.aidemo,2022.01.11-1,deepin-v23,,
com.tdr.uosicbc,9.0.6-5,deepin-v23,,
com.tg.aqdl,4.1.0.1,deepin-v23,,
com.toec.oem3000dn,2.6-4,deepin-v23,,
com.toec.toeca3oemseries,1.0,deepin-v23,,
com.toec.toeca3series,2.5-7.1,deepin-v23,,
com.toec.toeca4faxseries,2.6-4.1,deepin-v23,,
com.toec.toeca4printer,1.0-18.2,deepin-v23,,
com.toec.toeca4series,2.7-3,deepin-v23,,
com.toec.toecmyseries,3.0.0.11,deepin-v23,,
com.toec.toecrlseries,1.1-7,deepin-v23,,
com.toec.toecrlwseries,1.1-1,deepin-v23,,
com.toec.toecscanner,2.6-4,deepin-v23,,
com.tr.gpyapp,1.0.0.2,deepin-v23,,
com.utel.uboxweb,1.0.0.10,deepin-v23,,
com.wendouscanner,1.1,deepin-v23,,
com.winmage.winmage-sane,20240911-4.6.10.053,deepin-v23,,
com.winuim.wmr06,1.0.0.4-1,deepin-v23,,
com.wsd.gpy,1.0.26,deepin-v23,,
com.yjcloud.asr.agent,5.0.0,deepin-v23,,
com.za.ld8800,3.0.1.2,deepin-v23,,
com.za.zaz301,3.0.1.2,deepin-v23,,
com.zebra.jaguardriver,1.0.0.0,deepin-v23,,
com.zhiankeji.hs108,1.0.1-1,deepin-v23,,
com.zhiankeji.hs110,1.0.1-1,deepin-v23,,
com.ztsave.ztfinger,1.0.0-1,deepin-v23,,
conky-all,1.21.1-1,deepin-v23,,
conky-cli,1.21.1-1,deepin-v23,,
conky-std,1.21.1-1,deepin-v23,,
cool-retro-term,1.2.0+ds2-1,deepin-v23,,
cppcheck-gui,2.13.0-2,deepin-v23,,
cutecom,0.30.3-1,deepin-v23,,
d-feet,0.3.16-3,deepin-v23,,
d-spy,1.9.0-1,deepin-v23,,
dascom-d300c-driver,,deepin-v23,,
dascom-d300kp-driver,,deepin-v23,,
dascom-d300rw-driver,,deepin-v23,,
dascom-r600-driver,,deepin-v23,,
dde-calendar,5.14.7,deepin-v23,,
dde-control-center,6.0.75+deepin0+rb1,deepin-v23,,
dde-cooperation,1.0.2-1,deepin-v23,,
dde-desktop,6.5.10.4,deepin-v23,,
dde-device-formatter,0.0.1.16,deepin-v23,,
dde-file-manager,6.5.10.4,deepin-v23,,
dde-introduction,7.0.9,deepin-v23,,
dde-printer,1.0.25-1+1060,deepin-v23,,
dde-session-shell,6.0.23,deepin-v23,,
deepin-album,5.10.25,deepin-v23,,
deepin-app-store,8.0.7.0010,deepin-v23,,
deepin-boot-maker,5.7.10,deepin-v23,,
deepin-calculator,6.0.1,deepin-v23,,
deepin-camera,6.5.5,deepin-v23,,
deepin-compatibility-mode,0.1.2,deepin-v23,,
deepin-compressor,6.0.2,deepin-v23,,
deepin-data-transfer,1.0.2-1,deepin-v23,,
deepin-deb-installer,6.5.0,deepin-v23,,
deepin-devicemanager,6.0.28,deepin-v23,,
deepin-diskmanager,1.4.1,deepin-v23,,
deepin-distrobox-ubuntu,0,deepin-v23,,
deepin-draw,7.0.4,deepin-v23,,
deepin-editor,6.5.7,deepin-v23,,
deepin-feedback,6.0.0,deepin-v23,,
deepin-font-manager,6.5.3,deepin-v23,,
deepin-home,1.6.3,deepin-v23,,
deepin-image-viewer,5.9.20,deepin-v23,,
deepin-log-viewer,6.5.2,deepin-v23,,
deepin-mail,6.4.10,deepin-v23,,
deepin-manual,6.5.6.1,deepin-v23,,
deepin-movie,6.0.13-1,deepin-v23,,
deepin-music,6.2.40,deepin-v23,,
deepin-ocr,1.1.2,deepin-v23,,
deepin-picker,6.0.1,deepin-v23,,
deepin-reader,6.5.2,deepin-v23,,
deepin-screen-recorder,6.0.9+deepin0+rb1,deepin-v23,,
deepin-system-monitor,6.5.2,deepin-v23,,
deepin-system-upgrade,6.0.3,deepin-v23,,
deepin-terminal,6.0.16,deepin-v23,,
deepin-unioncode,1.4.8-1,deepin-v23,,
deepin-voice-note,6.0.17,deepin-v23,,
deli-printer-a111,1.1.022,deepin-v23,,
deluge-gtk,2.0.3-3.1,deepin-v23,,
dillo,3.0.5-7,deepin-v23,,
diodon,1.11.2-1,deepin-v23,,
distccmon-gnome,3.4+really3.4-4deepin1,deepin-v23,,
djview4,4.12-3,deepin-v23,,
dolphin,21.08.2-1deepin0,deepin-v23,,
dragonplayer,21.08.0-1,deepin-v23,,
drkonqi,5.23.3-1,deepin-v23,,
dummyapp-wpsoffice,1.0.2,deepin-v23,,
easyeffects,7.1.7-1,deepin-v23,,
edb-debugger,1.3.0-2.1deepin0,deepin-v23,,
emacs-common,29.1+1-5,deepin-v23,,
emacs-gtk,29.1+1-5,deepin-v23,,
emacs-lucid,29.1+1-5,deepin-v23,,
emacs-pgtk,29.1+1-5,deepin-v23,,
engrampa,1.24.1-deepin1,deepin-v23,,
epson-tdbridge-pp100api,2.5.2,deepin-v23,,
epsonscan2,6.7.42.10-1,deepin-v23,,
eskeysetuplog-admin,6.3.0.3,deepin-v23,,
evilwm,1.4.2-1,deepin-v23,,
evolution-data-server,3.50.1-1+rb1,deepin-v23,,
exfalso,4.6.0-3,deepin-v23,,
fbreader,0.12.10dfsg2-6deepin0,deepin-v23,,
fcitx-config-gtk,0.4.10.32-2deepin,deepin-v23,,
fcitx-data,4.2.9.32.38-deepin,deepin-v23,,
fcitx5,5.1.11-2deepin2,deepin-v23,,
fcitx5-config-qt,5.1.2-1deepin6+rb1,deepin-v23,,
fcitx5-frontend-qt5,5.1.8-2deepin1+rb1,deepin-v23,,
fcitx5-frontend-qt6,5.1.8-2deepin1+rb1,deepin-v23,,
featherpad,0.17.1-1,deepin-v23,,
ffado-mixer-qt4,2.4.9-1,deepin-v23,,
filelight,21.08.0-1deepin0,deepin-v23,,
filezilla,3.66.4-2deepin0,deepin-v23,,
firefox,131.0.3-1deepin1,deepin-v23,,
firefox-esr,115.2.1esr-1,deepin-v23,,
firewall-config,2.1.2-1,deepin-v23,,
fish-common,3.7.1-1,deepin-v23,,
flameshot,12.1.0-3,deepin-v23,,
fltk1.1-games,1.1.10-29,deepin-v23,,
fltk1.3-games,1.3.8-5deepin,deepin-v23,,
fluid,1.3.8-5deepin,deepin-v23,,
fontforge,20230101~dfsg-3,deepin-v23,,
foot,1.15.3-2deepin,deepin-v23,,
founder-sane-backend,20200526-1.4.5.011,deepin-v23,,
four-in-a-row,3.38.1-deepin1,deepin-v23,,
fritzing,0.9.6+dfsg-1,deepin-v23,,
galculator,2.1.4-1.1,deepin-v23,,
gamgi,0.17.5-1,deepin-v23,,
gammaray,2.11.3-3,deepin-v23,,
gcr,3.41.1-3,deepin-v23,,
gddccontrol,1.0.3-1deepin1,deepin-v23,,
gdebi,0.9.5.7+nmu7,deepin-v23,,
geany,1.38-1,deepin-v23,,
gedit,41.0-2,deepin-v23,,
geoclue-2-demo,2.7.1-2,deepin-v23,,
geoclue-2.0,2.7.1-2,deepin-v23,,
gftp-gtk,2.8.0~beta-1,deepin-v23,,
